This list contains all games supported by FB Alpha.

434 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
; progeara	;  	; Progear (010117 Asia)					; progear	; 2001	; Capcom / Cave	; CPS2		; 					;
; progear	;  	; Progear (010117 USA)					; 		; 2001	; Capcom / Cave	; CPS2		; 					;
; progerjd	;  	; Progear No Arashi (010117 Japan Phoenix Edition)	; progear	; 2001	; bootleg	; CPS2		; 					;
; progearj	;  	; Progear No Arashi (010117 Japan)			; progear	; 2001	; Capcom / Cave	; CPS2		; 					;
; pzloop2j	;  	; Puzz Loop 2 (010205 Japan)				; pzloop2	; 2001	; Mitchell, dist; CPS2		; 					;
; pzloop2	;  	; Puzz Loop 2 (010302 Euro)				; 		; 2001	; Mitchell, dist; CPS2		; 					;
; qadj		;  	; Quiz & Dragons (940921 Japan)				; qad		; 1992	; Capcom	; CPS1		; 					;
; qad		;  	; Quiz & Dragons (capcom quiz game 920701 USA)		; 		; 1992	; Capcom	; CPS1		; 					;
; qndream	;  	; Quiz Nanairo Dreams - nijiirochou no kiseki (nanairo d; 		; 1996	; Capcom	; CPS2		; 					;
; qtono2	;  	; Quiz Tonosama no Yabou 2 Zenkoku-ban (tonosama 2 95012; 		; 1995	; Capcom	; CPS1		; 					;
; redearth	;   NW	; Red Earth / War-Zard (Euro 961121)			; 		; 1996	; Capcom	; CPS-3		; 					;
; redeartn	;  	; Red Earth / War-Zard (Euro 961121, NO CD)		; redearth	; 1996	; Capcom	; CPS-3		; 					;
; ringdstd	;  	; Ring of Destruction - slammasters II (940902 Euro Phoe; ringdest	; 1994	; bootleg	; CPS2		; 					;
; ringdest	;  	; Ring of Destruction - slammasters II (940902 Euro)	; 		; 1994	; Capcom	; CPS2		; 					;
; rockmanj	;  	; Rockman - the power battle (950922 Japan)		; megaman	; 1995	; Capcom	; CPS1		; 					;
; rckman2j	;  	; Rockman 2 - the power fighters (960708 Japan)		; megaman2	; 1996	; Capcom	; CPS2		; 					;
; rmancp2j	;  	; Rockman: The Power Battle (950922 Japan)		; mmancp2u	; 1999	; Capcom	; CPS2		; 					;
; wofa		;  	; Sangokushi II (921005 Asia)				; wof		; 1992	; Capcom	; CPS1 / QSound	; 					;
; wofah		;  	; Sangokushi II (921005 Asia, bootleg set 2)		; wof		; 1992	; bootleg	; CPS1 / QSound	; 					;
; wofaha	; D NW	; Sangokushi II (921005 Asia, bootleg)			; wof		; 1992	; bootleg	; CPS1 / QSound	; 					;
; wofhfh	;  	; Sangokushi II: Huo Fenghuang (Chinese bootleg)	; wof		; 1992	; bootleg	; CPS1		; 					;
